date,vol_percentile,hill_alpha,hurst,risk_score,threshold_median,threshold_75,risk_state,scalar
2013-02-28,0.1772,4.01,0.4029,0.2283,0.46,0.6,LOW,1.0
2013-03-31,0.1348,3.68,0.3754,0.2219,0.46,0.6,LOW,1.0
2013-04-30,0.232,3.89,0.4501,0.2726,0.46,0.6,LOW,1.0
2013-05-31,0.1604,3.47,0.3024,0.2322,0.46,0.6,LOW,1.0
2013-06-30,0.4385,4.05,0.3588,0.348,0.46,0.6,LOW,1.0
2013-07-31,0.2543,4.05,0.4363,0.2714,0.45,0.6,LOW,1.0
2013-08-31,0.2771,4.25,0.5032,0.2841,0.45,0.6,LOW,1.0
2013-09-30,0.0626,4.25,0.4637,0.169,0.44,0.6,LOW,1.0
2013-10-31,0.131,4.1,0.4708,0.2139,0.44,0.59,LOW,1.0
2013-11-30,0.0954,3.97,0.4806,0.2055,0.44,0.59,LOW,1.0
2013-12-31,0.1169,3.97,0.5306,0.2262,0.43,0.59,LOW,1.0
2014-01-31,0.138,3.96,0.5301,0.2374,0.43,0.59,LOW,1.0
2014-02-28,0.2482,3.71,0.4988,0.3013,0.43,0.59,LOW,1.0
2014-03-31,0.2655,3.71,0.5672,0.3236,0.43,0.59,LOW,1.0
2014-04-30,0.2835,3.32,0.5638,0.3555,0.42,0.59,LOW,1.0
2014-05-31,0.132,3.32,0.5042,0.2679,0.42,0.59,LOW,1.0
2014-06-30,0.0699,3.38,0.5612,0.2441,0.41,0.58,LOW,1.0
2014-07-31,0.051,2.95,0.5321,0.2548,0.4,0.58,LOW,1.0
2014-08-31,0.0505,3.39,0.479,0.2179,0.4,0.58,LOW,1.0
2014-09-30,0.0926,3.03,0.4764,0.2599,0.4,0.57,LOW,1.0
2014-10-31,0.4132,2.98,0.4744,0.4227,0.4,0.57,MID,0.8
2014-11-30,0.3651,2.48,0.5836,0.4505,0.4,0.57,MID,0.8
2014-12-31,0.5123,3.31,0.5939,0.4764,0.41,0.57,MID,0.8
2015-01-31,0.4928,3.5,0.5205,0.4403,0.42,0.57,MID,0.8
2015-02-28,0.539,3.82,0.4945,0.439,0.42,0.57,MID,0.8
2015-03-31,0.5113,5.02,0.4866,0.3529,0.42,0.56,LOW,1.0
2015-04-30,0.2443,5.0,0.4912,0.2204,0.41,0.56,LOW,1.0
2015-05-31,0.2391,5.0,0.5178,0.2231,0.4,0.56,LOW,1.0
2015-06-30,0.132,4.55,0.4775,0.1886,0.4,0.56,LOW,1.0
2015-07-31,0.2138,4.85,0.4699,0.2098,0.4,0.55,LOW,1.0
2015-08-31,0.7066,3.94,0.3828,0.4933,0.4,0.55,MID,0.8
2015-09-30,0.8046,3.36,0.3515,0.5712,0.4,0.56,HIGH,0.5
2015-10-31,0.8155,2.9,0.3654,0.6067,0.41,0.57,HIGH,0.5
2015-11-30,0.6316,2.9,0.3778,0.5172,0.42,0.56,MID,0.8
2015-12-31,0.5709,2.93,0.3887,0.4872,0.42,0.56,MID,0.8
2016-01-31,0.6967,2.67,0.432,0.5746,0.42,0.57,HIGH,0.5
2016-02-29,0.7509,2.97,0.4145,0.5802,0.43,0.57,HIGH,0.5
2016-03-31,0.6938,3.34,0.4368,0.5337,0.43,0.57,MID,0.8
2016-04-30,0.4838,3.34,0.441,0.4296,0.43,0.57,MID,0.8
2016-05-31,0.1087,3.34,0.4032,0.2345,0.43,0.57,LOW,1.0
2016-06-30,0.4921,2.95,0.4375,0.4567,0.43,0.57,MID,0.8
2016-07-31,0.4602,2.95,0.4392,0.4411,0.43,0.56,MID,0.8
2016-08-31,0.333,2.97,0.4799,0.3841,0.43,0.56,LOW,1.0
2016-09-30,0.1029,3.0,0.4883,0.2694,0.43,0.56,LOW,1.0
2016-10-31,0.089,2.8,0.4543,0.2671,0.43,0.56,LOW,1.0
2016-11-30,0.2037,3.0,0.4532,0.3127,0.42,0.55,LOW,1.0
2016-12-31,0.0551,2.5,0.53,0.2836,0.42,0.55,LOW,1.0
2017-01-31,0.0532,2.39,0.3672,0.2568,0.42,0.55,LOW,1.0
2017-02-28,0.0029,2.38,0.4212,0.2428,0.41,0.55,LOW,1.0
2017-03-31,0.0137,2.36,0.411,0.2477,0.4,0.54,LOW,1.0
2017-04-30,0.0355,2.33,0.4394,0.2657,0.4,0.54,LOW,1.0
2017-05-31,0.0498,1.84,0.4665,0.3077,0.4,0.54,LOW,1.0
2017-06-30,0.0593,2.28,0.5387,0.3006,0.4,0.54,LOW,1.0
2017-07-31,0.026,2.91,0.4808,0.2346,0.4,0.54,LOW,1.0
2017-08-31,0.0713,2.34,0.412,0.278,0.39,0.54,LOW,1.0
2017-09-30,0.0408,2.52,0.5111,0.2716,0.39,0.54,LOW,1.0
2017-10-31,0.0381,2.63,0.476,0.2564,0.39,0.53,LOW,1.0
2017-11-30,0.0037,2.26,0.4326,0.2528,0.39,0.53,LOW,1.0
2017-12-31,0.0101,2.14,0.4227,0.2611,0.39,0.53,LOW,1.0
2018-01-31,0.0517,2.17,0.5232,0.3003,0.38,0.53,LOW,1.0
2018-02-28,0.6823,1.57,0.391,0.6249,0.39,0.53,HIGH,0.5
2018-03-31,0.7932,2.22,0.4384,0.6508,0.39,0.54,CRISIS,0.2
2018-04-30,0.8401,2.16,0.4552,0.6815,0.39,0.54,HIGH,0.5
2018-05-31,0.6498,2.12,0.4605,0.5901,0.39,0.55,HIGH,0.5
2018-06-30,0.3426,2.12,0.4769,0.4398,0.39,0.55,MID,0.8
2018-07-31,0.1528,2.12,0.4464,0.3387,0.39,0.54,LOW,1.0
2018-08-31,0.1081,1.99,0.5257,0.3396,0.39,0.54,LOW,1.0
2018-09-30,0.0633,1.99,0.4575,0.3035,0.39,0.54,LOW,1.0
2018-10-31,0.6004,2.39,0.4657,0.5498,0.39,0.55,HIGH,0.5
2018-11-30,0.7212,2.95,0.4443,0.5723,0.39,0.55,HIGH,0.5
2018-12-31,0.8872,3.84,0.3894,0.5911,0.39,0.55,HIGH,0.5
2019-01-31,0.8718,3.84,0.3967,0.5848,0.4,0.56,HIGH,0.5
2019-02-28,0.8199,4.8,0.5265,0.5273,0.4,0.56,MID,0.8
2019-03-31,0.509,4.07,0.4612,0.4026,0.4,0.55,MID,0.8
2019-04-30,0.1687,3.65,0.4737,0.2599,0.4,0.55,LOW,1.0
2019-05-31,0.3786,3.62,0.5843,0.3888,0.4,0.55,LOW,1.0
2019-06-30,0.3709,3.62,0.493,0.3667,0.39,0.55,LOW,1.0
2019-07-31,0.4064,3.62,0.5166,0.3892,0.39,0.55,LOW,1.0
2019-08-31,0.6448,3.54,0.5306,0.5162,0.39,0.55,MID,0.8
2019-09-30,0.6104,3.54,0.5224,0.4974,0.4,0.55,MID,0.8
2019-10-31,0.6572,3.53,0.47,0.5107,0.4,0.55,MID,0.8
2019-11-30,0.1826,3.59,0.6727,0.3105,0.4,0.54,LOW,1.0
2019-12-31,0.1422,2.24,0.4593,0.3283,0.39,0.54,LOW,1.0
2020-01-31,0.1448,2.3,0.4809,0.3307,0.39,0.54,LOW,1.0
2020-02-29,0.676,2.17,0.4076,0.5893,0.39,0.55,HIGH,0.5
2020-03-31,0.9815,1.96,0.3268,0.7387,0.4,0.55,CRISIS,0.2
2020-04-30,0.9848,1.88,0.5889,0.7972,0.4,0.55,HIGH,0.5
2020-05-31,0.9773,1.72,0.5234,0.7902,0.4,0.56,CRISIS,0.2
2020-06-30,0.9185,1.82,0.5477,0.7595,0.4,0.57,HIGH,0.5
2020-07-31,0.8306,1.82,0.5598,0.7179,0.4,0.57,CRISIS,0.2
2020-08-31,0.7489,1.82,0.5701,0.6791,0.4,0.57,HIGH,0.5
2020-09-30,0.6711,1.82,0.5231,0.6311,0.4,0.57,CRISIS,0.2
2020-10-31,0.7513,1.92,0.5717,0.675,0.41,0.57,HIGH,0.5
2020-11-30,0.8136,1.92,0.5538,0.7026,0.42,0.57,CRISIS,0.2
2020-12-31,0.6302,1.92,0.5747,0.615,0.42,0.58,HIGH,0.5
2021-01-31,0.5549,1.92,0.6039,0.5832,0.42,0.58,HIGH,0.5
2021-02-28,0.4716,1.92,0.6069,0.5423,0.43,0.58,MID,0.8
2021-03-31,0.6049,3.43,0.3695,0.4706,0.43,0.58,MID,0.8
2021-04-30,0.5123,2.69,0.4094,0.4768,0.43,0.58,MID,0.8
2021-05-31,0.4663,2.86,0.3764,0.437,0.43,0.57,MID,0.8
2021-06-30,0.2791,2.19,0.431,0.3941,0.43,0.57,LOW,1.0
2021-07-31,0.3002,2.19,0.429,0.4042,0.43,0.57,LOW,1.0
2021-08-31,0.1637,2.19,0.4133,0.3328,0.43,0.57,LOW,1.0
2021-09-30,0.291,3.04,0.4078,0.3449,0.42,0.57,LOW,1.0
2021-10-31,0.3057,3.31,0.3906,0.3323,0.42,0.57,LOW,1.0
2021-11-30,0.4385,2.77,0.3799,0.4291,0.42,0.57,MID,0.8
2021-12-31,0.5246,2.77,0.3963,0.4754,0.43,0.57,MID,0.8
2022-01-31,0.6605,3.16,0.4249,0.5256,0.43,0.57,MID,0.8
2022-02-28,0.778,7.7,0.4154,0.4721,0.43,0.57,MID,0.8
2022-03-31,0.8391,5.72,0.4227,0.5041,0.43,0.57,MID,0.8
2022-04-30,0.8841,4.6,0.4148,0.549,0.43,0.57,MID,0.8
2022-05-31,0.9068,2.76,0.5028,0.6884,0.43,0.57,HIGH,0.5
2022-06-30,0.9173,2.97,0.4358,0.6674,0.43,0.57,CRISIS,0.2
2022-07-31,0.9092,2.97,0.4695,0.67,0.43,0.57,HIGH,0.5
2022-08-31,0.8676,3.19,0.5,0.6427,0.43,0.58,CRISIS,0.2
2022-09-30,0.8237,2.83,0.5494,0.6519,0.44,0.58,HIGH,0.5
2022-10-31,0.8776,2.95,0.4819,0.6579,0.44,0.58,CRISIS,0.2
2022-11-30,0.8985,3.52,0.5211,0.6422,0.44,0.58,HIGH,0.5
2022-12-31,0.8745,3.45,0.495,0.6291,0.44,0.59,HIGH,0.5
2023-01-31,0.7986,3.52,0.4911,0.5863,0.44,0.59,HIGH,0.5
2023-02-28,0.6865,3.52,0.5412,0.5402,0.44,0.59,MID,0.8
2023-03-31,0.6302,3.36,0.5144,0.5162,0.44,0.59,MID,0.8
2023-04-30,0.5946,2.9,0.4664,0.5166,0.44,0.59,MID,0.8
2023-05-31,0.5328,3.45,0.5469,0.4688,0.44,0.58,MID,0.8
2023-06-30,0.3454,3.15,0.5383,0.3914,0.44,0.58,LOW,1.0
2023-07-31,0.2174,3.15,0.4515,0.31,0.44,0.58,LOW,1.0
2023-08-31,0.2158,3.5,0.5063,0.2989,0.44,0.58,LOW,1.0
2023-09-30,0.238,3.99,0.408,0.2612,0.44,0.58,LOW,1.0
2023-10-31,0.3871,4.46,0.4445,0.3148,0.44,0.58,LOW,1.0
2023-11-30,0.4229,5.74,0.5537,0.3222,0.44,0.58,LOW,1.0
2023-12-31,0.3643,7.07,0.5389,0.2899,0.44,0.58,LOW,1.0
2024-01-31,0.2171,6.92,0.5042,0.2094,0.44,0.58,LOW,1.0
2024-02-29,0.2265,8.23,0.504,0.2141,0.43,0.58,LOW,1.0
2024-03-31,0.2346,10.74,0.4877,0.2148,0.43,0.58,LOW,1.0
2024-04-30,0.4056,11.41,0.4628,0.2953,0.43,0.58,LOW,1.0
2024-05-31,0.2741,10.95,0.516,0.2403,0.43,0.57,LOW,1.0
2024-06-30,0.2076,10.95,0.5567,0.2151,0.43,0.57,LOW,1.0
2024-07-31,0.2225,8.9,0.5455,0.2203,0.43,0.57,LOW,1.0
2024-08-31,0.5524,4.65,0.5066,0.3984,0.43,0.57,LOW,1.0
2024-09-30,0.63,3.99,0.5385,0.4834,0.43,0.57,MID,0.8
2024-10-31,0.5382,3.54,0.4952,0.4555,0.43,0.57,MID,0.8
2024-11-30,0.3873,3.54,0.456,0.3722,0.43,0.57,LOW,1.0
2024-12-31,0.4269,2.89,0.4478,0.4299,0.43,0.57,MID,0.8
2025-01-31,0.5253,2.91,0.4412,0.4766,0.43,0.57,MID,0.8
2025-02-28,0.503,3.6,0.4871,0.4328,0.43,0.57,MID,0.8
2025-03-31,0.6511,4.05,0.5512,0.4927,0.43,0.57,MID,0.8
2025-04-30,0.9417,2.35,0.2651,0.6827,0.43,0.57,HIGH,0.5
2025-05-31,0.9432,2.35,0.4029,0.711,0.43,0.57,CRISIS,0.2
2025-06-30,0.9304,2.35,0.3975,0.7035,0.43,0.57,HIGH,0.5
2025-07-31,0.3324,2.27,0.3389,0.3977,0.43,0.57,LOW,1.0
2025-08-31,0.1448,2.0,0.3737,0.3272,0.43,0.57,LOW,1.0
2025-09-30,0.1032,2.01,0.4293,0.3171,0.43,0.57,LOW,1.0
2025-10-31,0.2015,1.89,0.3623,0.3596,0.43,0.57,LOW,1.0
2025-11-30,0.4078,1.88,0.3736,0.4657,0.43,0.57,MID,0.8
2025-12-31,0.4376,1.99,0.4051,0.4802,0.43,0.57,MID,0.8
2026-01-31,0.3467,2.03,0.3329,0.4181,0.43,0.57,LOW,1.0
